"C:\Users\micha\Documents\DSCI 789\michael_kogan-dsci789\framework\venv\Scripts\python.exe" "C:/Users/micha/Documents/DSCI 789/michael_kogan-dsci789/framework/main.py"
Files already downloaded and verified
Training set size:  45000  Validation set size:  5000
Epochs:  50  Batch Size:  128  Learning Rate:  0.01  Mu:  0.9
Epoch:  0  Validation Loss:  2.3028340045928957
Epoch:  1  Validation Loss:  2.3031007892608644
Epoch:  2  Validation Loss:  2.3031729232788085
Epoch:  3  Validation Loss:  2.3029434986114503
Epoch:  4  Validation Loss:  2.302421493148804
Epoch:  5  Validation Loss:  2.302024990463257
Epoch:  6  Validation Loss:  2.0353198053359987
Epoch:  7  Validation Loss:  1.7065523727416991
Epoch:  8  Validation Loss:  1.5756221296310424
Epoch:  9  Validation Loss:  1.5393879846572875
Epoch:  10  Validation Loss:  1.4429332641601562
Epoch:  11  Validation Loss:  1.402794483947754
Epoch:  12  Validation Loss:  1.4090181991577149
Epoch:  13  Validation Loss:  1.2353369724273682
Epoch:  14  Validation Loss:  1.195129557800293
Epoch:  15  Validation Loss:  1.1220781658172607
Epoch:  16  Validation Loss:  1.0852080219268798
Epoch:  17  Validation Loss:  1.0382256546020507
Epoch:  18  Validation Loss:  1.0161094543457032
Epoch:  19  Validation Loss:  1.0145429862976074
Epoch:  20  Validation Loss:  0.9802821012496948
Epoch:  21  Validation Loss:  0.908323596572876
Epoch:  22  Validation Loss:  0.9198215438842774
Epoch:  23  Validation Loss:  0.9090017141342163
Epoch:  24  Validation Loss:  0.969977405166626
Epoch:  25  Validation Loss:  0.8814277857780457
Epoch:  26  Validation Loss:  0.8746928857803344
Epoch:  27  Validation Loss:  0.9313934454917908
Epoch:  28  Validation Loss:  0.874535790348053
Epoch:  29  Validation Loss:  0.8500530893325806
Epoch:  30  Validation Loss:  0.8433553732872009
Epoch:  31  Validation Loss:  0.8536175134658813
Epoch:  32  Validation Loss:  0.8676942863464355
Epoch:  33  Validation Loss:  0.8806915132522583
Epoch:  34  Validation Loss:  0.8612741522789001
Epoch:  35  Validation Loss:  0.8898888879776001
Epoch:  36  Validation Loss:  0.8681872495651245
Epoch:  37  Validation Loss:  0.8691690382957459
Epoch:  38  Validation Loss:  0.8614007019996643
Epoch:  39  Validation Loss:  0.8946490592002868
Epoch:  40  Validation Loss:  0.8679953010559082
Epoch:  41  Validation Loss:  0.9310287128448487
Epoch:  42  Validation Loss:  0.8706797757148743
Epoch:  43  Validation Loss:  0.9375945630073548
Epoch:  44  Validation Loss:  0.8815847787857055
Epoch:  45  Validation Loss:  0.9597552160263062
Epoch:  46  Validation Loss:  0.9459976568222046
Epoch:  47  Validation Loss:  0.9613042457580566
Epoch:  48  Validation Loss:  0.9330499904632569
Epoch:  49  Validation Loss:  0.9661058656692505
Final results on test set - loss:  0.9754982671737671  accuracy:  0.6982

Process finished with exit code 0
